FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 20-Mar-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	exp_param_set_MATURE_190320.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
FMR1kif5a-g11_w597_STACK__outline.txt	Cell_2	28928	0	1	1	1
FMR1kif5a-g12_w597_STACK__outline.txt	Cell_2	62292.5	0	6	6	6
FMR1kif5a-g12_w597_STACK__outline.txt	Cell_3	90588.5	0	675	613	613
GFPblank01_w597_STACK__outline.txt	Cell_1	50940	0	460	426	426
GFPblank01_w597_STACK__outline.txt	Cell_2	24556	0	0	0	0
GFPblank02_w597_STACK__outline.txt	Cell_1	61324	0	275	261	261
GFPblank02_w597_STACK__outline.txt	Cell_2	31980.5	0	1	1	1
GFPblank03_w597_STACK__outline.txt	Cell_1	67066	0	735	694	694
GFPblank03_w597_STACK__outline.txt	Cell_2	37681	0	2	2	2
GFPblank04_w597_STACK__outline.txt	Cell_1	40665	0	65	62	62
GFPblank04_w597_STACK__outline.txt	Cell_2	30991	0	0	0	0
GFPblank05_w597_STACK__outline.txt	Cell_1	67639	0	12	11	11
GFPblank05_w597_STACK__outline.txt	Cell_2	17909.5	0	0	0	0
GFPblank05_w597_STACK__outline.txt	Cell_3	55784	0	5	5	5
GFPblank05_w597_STACK__outline.txt	Cell_4	29972	0	0	0	0
GFPblank06_w597_STACK__outline.txt	Cell_1	55399.5	0	127	64	64
GFPblank06_w597_STACK__outline.txt	Cell_2	29067	0	3	2	2
GFPblank07_w597_STACK__outline.txt	Cell_1	45786	0	24	24	24
GFPblank07_w597_STACK__outline.txt	Cell_2	37213.5	0	1	1	1
GFPblank08_w597_STACK__outline.txt	Cell_2	53352.5	0	1	1	1
GFPblank08_w597_STACK__outline.txt	Cell_3	53671.5	0	48	48	48
GFPblank09_w597_STACK__outline.txt	Cell_1	38091.5	0	58	57	57
GFPblank09_w597_STACK__outline.txt	Cell_2	38773	0	1	1	1
GFPblank10_w597_STACK__outline.txt	Cell_1	43567	0	392	337	337
GFPblank10_w597_STACK__outline.txt	Cell_2	46512	0	2	2	2
GFPkif5a01_w597_STACK__outline.txt	Cell_1	64825.5	0	77	65	65
GFPkif5a01_w597_STACK__outline.txt	Cell_2	33276.5	0	10	8	8
GFPkif5a02_w597_STACK__outline.txt	Cell_1	90280	0	588	230	230
GFPkif5a02_w597_STACK__outline.txt	Cell_2	25416.5	0	16	9	9
GFPkif5a03_w597_STACK__outline.txt	Cell_1	61613	0	72	56	56
GFPkif5a03_w597_STACK__outline.txt	Cell_2	24905	0	1	1	1
GFPkif5a03_w597_STACK__outline.txt	Cell_3	75588.5	0	46	41	41
GFPkif5a03_w597_STACK__outline.txt	Cell_4	10986	0	1	1	1
GFPkif5a04_w597_STACK__outline.txt	Cell_1	75111.5	0	351	293	293
GFPkif5a04_w597_STACK__outline.txt	Cell_2	42863	0	13	12	12
GFPkif5a05_w597_STACK__outline.txt	Cell_1	43518.5	0	79	70	70
GFPkif5a05_w597_STACK__outline.txt	Cell_2	37625	0	13	9	9
GFPkif5a06_w597_STACK__outline.txt	Cell_1	55117	0	66	53	53
GFPkif5a06_w597_STACK__outline.txt	Cell_2	52776	0	20	18	18
GFPkif5a07_w597_STACK__outline.txt	Cell_1	43176.5	0	95	81	81
GFPkif5a07_w597_STACK__outline.txt	Cell_2	29428	0	7	7	7
GFPkif5a08_w597_STACK__outline.txt	Cell_1	39819.5	0	57	51	51
GFPkif5a08_w597_STACK__outline.txt	Cell_2	32949.5	0	24	18	18
GFPkif5a08_w597_STACK__outline.txt	Cell_3	29405	0	25	21	21
GFPkif5a08_w597_STACK__outline.txt	Cell_4	35988	0	9	6	6
GFPkif5a09_w597_STACK__outline.txt	Cell_1	44050.5	0	28	21	21
GFPkif5a09_w597_STACK__outline.txt	Cell_2	32081	0	16	12	12
GFPkif5a09_w597_STACK__outline.txt	Cell_3	39391.5	0	24	22	22
GFPkif5a09_w597_STACK__outline.txt	Cell_4	16411.5	0	10	6	6
GFPkif5a10_w597_STACK__outline.txt	Cell_1	43832	0	26	23	23
GFPkif5a10_w597_STACK__outline.txt	Cell_2	21965	0	20	15	15
GFPkif5a11_w597_STACK__outline.txt	Cell_1	40396.5	0	95	57	57
GFPkif5a11_w597_STACK__outline.txt	Cell_2	24879.5	0	4	2	2
GFPkif5a11_w597_STACK__outline.txt	Cell_3	52842	0	122	94	94
GFPkif5a11_w597_STACK__outline.txt	Cell_4	51701.5	0	2	2	2
GFPkif5a12_w597_STACK__outline.txt	Cell_1	49486	0	32	30	30
GFPkif5a12_w597_STACK__outline.txt	Cell_2	38474	0	8	6	6
GFPkif5a12_w597_STACK__outline.txt	Cell_3	66063	0	33	25	25
GFPkif5a12_w597_STACK__outline.txt	Cell_4	36889	0	15	10	10
GFPkif5a-g01_w597_STACK__outline.txt	Cell_1	56383	0	83	68	68
GFPkif5a-g01_w597_STACK__outline.txt	Cell_2	35734.5	0	0	0	0
GFPkif5a-g02_w597_STACK__outline.txt	Cell_1	96382	0	693	626	626
GFPkif5a-g02_w597_STACK__outline.txt	Cell_4	45026.5	0	1	1	1
GFPkif5a-g03_w597_STACK__outline.txt	Cell_1	43142	0	75	71	71
GFPkif5a-g03_w597_STACK__outline.txt	Cell_2	32567	0	0	0	0
GFPkif5a-g04_w597_STACK__outline.txt	Cell_1	70191.5	0	306	266	266
GFPkif5a-g04_w597_STACK__outline.txt	Cell_2	28533	0	4	4	4
GFPkif5a-g05_w597_STACK__outline.txt	Cell_1	60049.5	0	64	60	60
GFPkif5a-g05_w597_STACK__outline.txt	Cell_2	25386.5	0	0	0	0
GFPkif5a-g06_w597_STACK__outline.txt	Cell_1	42840	0	38	37	37
GFPkif5a-g06_w597_STACK__outline.txt	Cell_2	16299	0	0	0	0
