FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 05-Apr-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	doug approved_MATURE_results_190404.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
RGGkif5a-g05_w597_STACK__outline.txt	Cell_1	52544	0	495	420	420
RGGkif5a-g05_w597_STACK__outline.txt	Cell_2	30670	0	137	84	84
RGGkif5a-g06_w597_STACK__outline.txt	Cell_1	40868	0	372	341	341
RGGkif5a-g06_w597_STACK__outline.txt	Cell_2	13651.5	0	20	17	17
RGGkif5a-g07_w597_STACK__outline.txt	Cell_1	78338	0	1189	604	604
RGGkif5a-g07_w597_STACK__outline.txt	Cell_2	65549.5	0	131	36	36
RGGkif5a-g08_w597_STACK__outline.txt	Cell_1	41213.5	0	897	435	435
RGGkif5a-g08_w597_STACK__outline.txt	Cell_2	25172.5	0	85	22	22
RGGkif5a-g08_w597_STACK__outline.txt	Cell_3	12001	0	211	118	118
RGGkif5a-g08_w597_STACK__outline.txt	Cell_4	15556.5	0	65	5	5
RGGkif5a-g09_w597_STACK__outline.txt	Cell_1	34399	0	350	231	231
RGGkif5a-g09_w597_STACK__outline.txt	Cell_2	32642.5	0	33	10	10
RGGkif5a-g10_w597_STACK__outline.txt	Cell_1	50063.5	0	717	369	369
RGGkif5a-g10_w597_STACK__outline.txt	Cell_2	24767	0	102	7	7
RGGnol3_01_w597_STACK__outline.txt	Cell_1	63979.5	0	344	275	275
RGGnol3_01_w597_STACK__outline.txt	Cell_2	21695	0	67	59	59
RGGnol3_02_w597_STACK__outline.txt	Cell_1	40478	0	232	213	213
RGGnol3_02_w597_STACK__outline.txt	Cell_2	42150.5	0	94	80	80
RGGnol3_02_w597_STACK__outline.txt	Cell_3	24420.5	0	126	123	123
RGGnol3_02_w597_STACK__outline.txt	Cell_4	27911	0	68	66	66
RGGnol3_03_w597_STACK__outline.txt	Cell_1	34993	0	304	188	188
RGGnol3_03_w597_STACK__outline.txt	Cell_2	34876	0	95	54	54
RGGnol3_04_w597_STACK__outline.txt	Cell_1	41344.5	0	748	423	423
RGGnol3_04_w597_STACK__outline.txt	Cell_2	30348	0	82	78	78
