FILE,CELL,AREA_cell,AREA_nuc,N_total,N_thres_Total,N_thres_Nuc
GFPblank02_w597_STACK__outline.txt,Cell_1,61324,0,29,24,24
GFPblank02_w597_STACK__outline.txt,Cell_2,31980.5,0,0,0,0
GFPblank03_w597_STACK__outline.txt,Cell_1,67066,0,570,423,423
GFPblank03_w597_STACK__outline.txt,Cell_2,37681,0,2,2,2
GFPblank04_w597_STACK__outline.txt,Cell_1,40665,0,41,35,35
GFPblank04_w597_STACK__outline.txt,Cell_2,30991,0,0,0,0
GFPblank05_w597_STACK__outline.txt,Cell_1,67639,0,0,0,0
GFPblank05_w597_STACK__outline.txt,Cell_2,17909.5,0,0,0,0
GFPblank05_w597_STACK__outline.txt,Cell_3,55784,0,0,0,0
GFPblank05_w597_STACK__outline.txt,Cell_4,29972,0,0,0,0
GFPblank06_w597_STACK__outline.txt,Cell_1,55399.5,0,36,28,28
GFPblank06_w597_STACK__outline.txt,Cell_2,29067,0,0,0,0
GFPblank07_w597_STACK__outline.txt,Cell_1,45786,0,0,0,0
GFPblank07_w597_STACK__outline.txt,Cell_2,37213.5,0,0,0,0
GFPblank08_w597_STACK__outline.txt,Cell_2,53352.5,0,0,0,0
GFPblank08_w597_STACK__outline.txt,Cell_3,53671.5,0,1,1,1
GFPblank09_w597_STACK__outline.txt,Cell_1,38091.5,0,2,0,0
GFPblank09_w597_STACK__outline.txt,Cell_2,38773,0,0,0,0
GFPblank10_w597_STACK__outline.txt,Cell_1,43567,0,14,10,10
GFPblank10_w597_STACK__outline.txt,Cell_2,46512,0,0,0,0
GFPkif5a01_w597_STACK__outline.txt,Cell_1,64825.5,0,10,9,9
GFPkif5a01_w597_STACK__outline.txt,Cell_2,33276.5,0,0,0,0
GFPkif5a02_w597_STACK__outline.txt,Cell_1,90280,0,5,3,3
GFPkif5a02_w597_STACK__outline.txt,Cell_2,25416.5,0,0,0,0
GFPkif5a03_w597_STACK__outline.txt,Cell_1,61613,0,6,5,5
GFPkif5a03_w597_STACK__outline.txt,Cell_2,24905,0,0,0,0
GFPkif5a03_w597_STACK__outline.txt,Cell_3,75588.5,0,3,2,2
GFPkif5a03_w597_STACK__outline.txt,Cell_4,10986,0,0,0,0
GFPkif5a04_w597_STACK__outline.txt,Cell_1,75111.5,0,101,76,76
GFPkif5a04_w597_STACK__outline.txt,Cell_2,42863,0,5,5,5
GFPkif5a05_w597_STACK__outline.txt,Cell_1,43518.5,0,10,8,8
GFPkif5a05_w597_STACK__outline.txt,Cell_2,37625,0,1,1,1
GFPkif5a06_w597_STACK__outline.txt,Cell_1,55117,0,7,6,6
GFPkif5a06_w597_STACK__outline.txt,Cell_2,52776,0,1,0,0
GFPkif5a07_w597_STACK__outline.txt,Cell_1,43176.5,0,21,17,17
GFPkif5a07_w597_STACK__outline.txt,Cell_2,29428,0,0,0,0
GFPkif5a08_w597_STACK__outline.txt,Cell_1,39819.5,0,16,14,14
GFPkif5a08_w597_STACK__outline.txt,Cell_2,32949.5,0,2,2,2
GFPkif5a08_w597_STACK__outline.txt,Cell_3,29405,0,1,1,1
GFPkif5a08_w597_STACK__outline.txt,Cell_4,35988,0,0,0,0
GFPkif5a09_w597_STACK__outline.txt,Cell_1,44050.5,0,2,1,1
GFPkif5a09_w597_STACK__outline.txt,Cell_2,32081,0,0,0,0
GFPkif5a09_w597_STACK__outline.txt,Cell_3,39391.5,0,1,0,0
GFPkif5a09_w597_STACK__outline.txt,Cell_4,16411.5,0,0,0,0
GFPkif5a10_w597_STACK__outline.txt,Cell_1,43832,0,1,0,0
GFPkif5a10_w597_STACK__outline.txt,Cell_2,21965,0,3,1,1
GFPkif5a11_w597_STACK__outline.txt,Cell_1,40396.5,0,1,0,0
GFPkif5a11_w597_STACK__outline.txt,Cell_2,24879.5,0,0,0,0
GFPkif5a11_w597_STACK__outline.txt,Cell_3,52842,0,0,0,0
GFPkif5a11_w597_STACK__outline.txt,Cell_4,51701.5,0,0,0,0
GFPkif5a12_w597_STACK__outline.txt,Cell_1,49486,0,0,0,0
GFPkif5a12_w597_STACK__outline.txt,Cell_2,38474,0,0,0,0
GFPkif5a12_w597_STACK__outline.txt,Cell_3,66063,0,3,2,2
GFPkif5a12_w597_STACK__outline.txt,Cell_4,36889,0,0,0,0
GFPkif5a-g01_w597_STACK__outline.txt,Cell_1,56383,0,35,32,32
GFPkif5a-g01_w597_STACK__outline.txt,Cell_2,35734.5,0,0,0,0
GFPkif5a-g02_w597_STACK__outline.txt,Cell_1,96382,0,537,356,356
GFPkif5a-g02_w597_STACK__outline.txt,Cell_4,45026.5,0,1,1,1
GFPkif5a-g03_w597_STACK__outline.txt,Cell_1,43142,0,36,29,29
GFPkif5a-g03_w597_STACK__outline.txt,Cell_2,32567,0,0,0,0
GFPkif5a-g04_w597_STACK__outline.txt,Cell_1,70191.5,0,161,122,122
GFPkif5a-g04_w597_STACK__outline.txt,Cell_2,28533,0,3,3,3
GFPkif5a-g05_w597_STACK__outline.txt,Cell_1,60049.5,0,21,17,17
GFPkif5a-g05_w597_STACK__outline.txt,Cell_2,25386.5,0,0,0,0
GFPkif5a-g06_w597_STACK__outline.txt,Cell_1,42840,0,22,19,19
GFPkif5a-g06_w597_STACK__outline.txt,Cell_2,16299,0,0,0,0
GFPkif5a-g06_w597_STACK__outline.txt,Cell_3,43864,0,107,92,92
GFPkif5a-g06_w597_STACK__outline.txt,Cell_4,16381,0,1,1,1
GFPkif5a-g07_w597_STACK__outline.txt,Cell_1,38955,0,76,64,64
GFPkif5a-g07_w597_STACK__outline.txt,Cell_4,23121,0,1,1,1
GFPkif5a-g07_w597_STACK__outline.txt,Cell_5,40976,0,286,197,197
GFPkif5a-g07_w597_STACK__outline.txt,Cell_6,35933,0,3,3,3
GFPkif5a-g08_w597_STACK__outline.txt,Cell_1,40551.5,0,18,12,12
GFPkif5a-g08_w597_STACK__outline.txt,Cell_2,31836.5,0,1,1,1
GFPkif5a-g09_w597_STACK__outline.txt,Cell_1,68099.5,0,142,119,119
GFPkif5a-g09_w597_STACK__outline.txt,Cell_2,35004.5,0,0,0,0
GFPkif5a-g09_w597_STACK__outline.txt,Cell_3,63815,0,24,24,24
GFPkif5a-g09_w597_STACK__outline.txt,Cell_4,28768.5,0,1,1,1
GFPkif5a-g10_w597_STACK__outline.txt,Cell_1,62877,0,36,27,27
GFPkif5a-g10_w597_STACK__outline.txt,Cell_2,26984.5,0,0,0,0
GFPkif5a-g11_w597_STACK__outline.txt,Cell_1,43973,0,93,77,77
GFPkif5a-g11_w597_STACK__outline.txt,Cell_2,25406,0,0,0,0
RGGblank01_w597_STACK__outline.txt,Cell_1,50362.5,0,0,0,0
RGGblank01_w597_STACK__outline.txt,Cell_2,32348,0,0,0,0
RGGblank02_w597_STACK__outline.txt,Cell_1,62377.5,0,520,306,306
RGGblank02_w597_STACK__outline.txt,Cell_2,54304,0,26,23,23
RGGblank03_w597_STACK__outline.txt,Cell_1,52713,0,0,0,0
